All hps: 2021-01-16 21:37:39 model=wrn-28-10-drop dataset=cifar10 attack=square_linf n_ex=10000 eps=16 p=0.06 n_iter=10000
finish load victim model
Clean accuracy: 95.97%
1: acc=63.69% acc_corr=66.36% avg#q_ae=1.07 med#q=1.0, avg_margin=2.64 (n_ex=9597, eps=0.063, 4.73s)
2594: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.21s)
2595: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.22s)
2596: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.22s)
2597: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.23s)
2598: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.23s)
2599: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.24s)
2600: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.24s)
2601: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.24s)
2602: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.25s)
2603: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.25s)
2604: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.26s)
2605: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.26s)
2606: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.27s)
2607: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.27s)
2608: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.27s)
2609: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.28s)
2610: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.28s)
2611: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.29s)
2612: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.29s)
2613: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.30s)
2614: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.30s)
2615: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.30s)
2616: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.31s)
2617: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.31s)
2618: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.32s)
2619: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.32s)
2620: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.33s)
2621: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.33s)
2622: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.34s)
2623: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.34s)
2624: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.34s)
2625: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.35s)
2626: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.35s)
2627: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.36s)
2628: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.36s)
2629: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.37s)
2630: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.37s)
2631: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.37s)
2632: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.38s)
2633: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.38s)
2634: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.39s)
2635: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.39s)
2636: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.40s)
2637: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.40s)
2638: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.40s)
2639: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.41s)
2640: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.41s)
2641: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.42s)
2642: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.42s)
2643: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.43s)
2644: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.43s)
2645: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.44s)
2646: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.44s)
2647: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.44s)
2648: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.45s)
2649: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.45s)
2650: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.46s)
2651: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.46s)
2652: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.47s)
2653: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.47s)
2654: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.48s)
2655: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.48s)
2656: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.48s)
2657: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.49s)
2658: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.49s)
2659: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.50s)
2660: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.50s)
2661: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.51s)
2662: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.51s)
2663: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.51s)
2664: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.52s)
2665: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.52s)
2666: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.53s)
2667: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.53s)
2668: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.54s)
2669: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.54s)
2670: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.55s)
2671: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.55s)
2672: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.55s)
2673: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.56s)
2674: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.56s)
2675: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.57s)
2676: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.57s)
2677: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.58s)
2678: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.58s)
2679: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.58s)
2680: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.59s)
2681: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.59s)
2682: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.60s)
2683: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.60s)
2684: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.61s)
2685: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.61s)
2686: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.62s)
2687: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.62s)
2688: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.63s)
2689: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.63s)
2690: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.63s)
2691: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.64s)
2692: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.64s)
2693: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.65s)
2694: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.65s)
2695: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.66s)
2696: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.66s)
2697: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.67s)
2698: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.67s)
2699: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.67s)
2700: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.68s)
2701: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.68s)
2702: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.69s)
2703: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.69s)
2704: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.70s)
2705: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.70s)
2706: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.71s)
2707: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.71s)
2708: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.72s)
2709: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.72s)
2710: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.72s)
2711: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.73s)
2712: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.73s)
2713: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.74s)
2714: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.74s)
2715: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.75s)
2716: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.75s)
2717: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.76s)
2718: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.76s)
2719: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.76s)
2720: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.77s)
2721: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.77s)
2722: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.78s)
2723: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.78s)
2724: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.79s)
2725: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.79s)
2726: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.80s)
2727: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.80s)
2728: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.80s)
2729: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.81s)
2730: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.81s)
2731: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.82s)
2732: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.82s)
2733: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.83s)
2734: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.83s)
2735: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.84s)
2736: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.84s)
2737: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.85s)
2738: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.85s)
2739: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.86s)
2740: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.86s)
2741: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.86s)
2742: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.87s)
2743: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.87s)
2744: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.88s)
2745: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.88s)
2746: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.89s)
2747: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.89s)
2748: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.90s)
2749: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.90s)
2750: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.91s)
2751: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.91s)
2752: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.91s)
2753: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.92s)
2754: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.92s)
2755: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.93s)
2756: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.93s)
2757: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.94s)
2758: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.94s)
2759: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.95s)
2760: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.95s)
2761: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.96s)
2762: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.96s)
2763: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.96s)
2764: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.97s)
2765: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.97s)
2766: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.98s)
2767: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.98s)
2768: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.99s)
2769: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 382.99s)
2770: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 383.00s)
2771: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 383.00s)
2772: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 383.01s)
2773: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 383.01s)
2774: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 383.01s)
2775: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 383.02s)
2776: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 383.02s)
2777: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 383.03s)
2778: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 383.03s)
2779: acc=0.01% acc_corr=0.01% avg#q_ae=53.13 med#q=11.0, avg_margin=-2.43 (n_ex=9597, eps=0.063, 383.04s)
